,X,Y,node
182,-104.8905,39.7651,182
183,-104.8883,39.7651,183
184,-104.8874,39.7651,184
185,-104.8836,39.7651,185
186,-104.8818,39.7651,186
187,-104.8798,39.7651,187
188,-104.8786,39.7651,188
189,-104.8779,39.7651,189
190,-105.0093,39.7583,190
191,-104.95205,39.7512000000107,191
192,-104.9488,39.7512,192
193,-104.9473,39.7512,193
194,-104.9457,39.7511,194
195,-104.9406,39.751,195
196,-104.89,39.6603,196
197,-104.9874,39.7448,197
198,-104.9568,39.7416,198
199,-104.9568,39.7438,199
200,-104.89545999964,39.7173200001304,200
201,-104.892833333462,39.7112666667048,201
202,-104.8842,39.7071,202
203,-104.8707,39.7101,203
204,-104.951100000145,39.7180333333619,204
205,-104.950399999928,39.7175500000429,205
206,-104.949850000217,39.7171000000965,206
207,-104.95,39.7161,207
208,-104.953445867539,39.7148102496787,208
209,-104.9935,39.7594,209
210,-104.9058,39.7547,210
211,-104.9058,39.7584,211
212,-104.9058,39.7619,212
213,-104.9363,39.6748,213
214,-104.9089,39.6749,214
215,-104.95075,39.7272000000965,215
216,-104.9506,39.7278,216
217,-104.9506,39.7351,217
218,-104.9506,39.7384,218
219,-104.9067,39.6407,219
220,-104.987199999565,39.7506500001716,220
221,-104.9874,39.7516,221
222,-104.9622,39.7495,222
223,-104.961,39.7495,223
224,-104.9664,39.7297,224
225,-104.9163,39.7419,225
226,-104.9163,39.7474,226
227,-104.9947,39.7527,227
228,-104.9922,39.7546,228
229,-105.0021,39.751,229
230,-105.003,39.7516,230
231,-104.9907,39.7423,231
232,-104.893789999763,39.6674400001411,232
233,-104.9128,39.7131,233
234,-104.9129,39.7113,234
235,-104.9484,39.7351,235
236,-104.9484,39.7387,236
237,-104.9486,39.7402000001716,237
238,-104.9917,39.7321,238
239,-104.9916,39.7339,239
240,-104.9917,39.7353,240
241,-104.9916,39.7369,241
242,-104.894449984651,39.6889733367406,242
243,-104.8941,39.6894,243
244,-105.0016,39.7121,244
245,-105.011,39.7122,245
246,-104.9594,39.7039,246
247,-104.95,39.6966,247
248,-105.021724999837,39.7408500000939,248
249,-105.0237,39.744,249
250,-105.0234,39.7474,250
251,-104.9162,39.72505,251
252,-105.0064,39.762,252
253,-105.0064,39.7656,253
254,-104.9407,39.7349,254
255,-104.9879,39.7512,255
256,-104.9896,39.7525,256
257,-104.9905,39.7532,257
258,-104.9914,39.7539,258
259,-104.9931,39.7552,259
260,-105.0095,39.7451,260
261,-104.9655,39.7297,261
262,-104.99,39.7085,262
263,-104.9924,39.7084,263
264,-105.0016,39.7112,264
265,-104.9054,39.6459,265
266,-104.9087,39.64085,266
267,-104.9828,39.6978,267
268,-104.9744,39.7576,268
269,-104.9736,39.7582,269
270,-104.903449999855,39.7582000000107,270
271,-104.900820000337,39.7582600001613,271
272,-105.0355,39.7093,272
273,-105.0037,39.7477,273
274,-105.0043,39.7478,274
275,-105.0053,39.7474,275
276,-104.8828,39.7746,276
277,-104.885959999861,39.7711400000446,277
278,-104.8893,39.7694,278
279,-105.0118,39.7584,279
280,-105.0105,39.7593,280
281,-104.9902,39.7339,281
282,-104.9902,39.7353,282
283,-104.9902,39.7369,283
284,-104.9406,39.7547,284
285,-104.992539998798,39.7435800004565,285
286,-104.9934,39.7442,286
287,-104.9938,39.7446,287
288,-104.9943,39.7449,288
289,-104.9947,39.7453,289
290,-104.995399999565,39.7457500001716,290
291,-104.996,39.7462,291
292,-104.9969,39.7469,292
293,-104.9977,39.7476,293
294,-104.9982,39.7479,294
295,-104.9986,39.7483,295
296,-104.9646,39.7351,296
297,-104.995419995558,39.7360933343469,297
298,-104.9849,39.7353,298
299,-105.0041,39.7656,299
300,-105.0041,39.7668,300
