,0,1,2,3
325,289.0,290.0,166.47,4.0
326,290.0,308.0,313.51,4.0
327,291.0,292.0,1492.14,4.0
328,292.0,309.0,311.29,4.0
329,293.0,294.0,1252.51,4.0
330,295.0,296.0,1247.78,4.0
331,295.0,325.0,165.82,4.0
332,297.0,298.0,1818.12,4.0
333,298.0,682.0,1078.92,4.0
334,299.0,300.0,1655.93,4.0
335,299.0,598.0,431.14,4.0
336,302.0,303.0,117.34,4.0
337,303.0,305.0,104.52,4.0
338,303.0,305.0,105.24,4.0
339,304.0,587.0,87.36,4.0
340,306.0,307.0,617.33,4.0
341,308.0,917.0,1087.72,4.0
342,309.0,310.0,1094.16,4.0
343,311.0,312.0,392.38,4.0
344,311.0,829.0,1233.8,4.0
345,312.0,984.0,363.66,5.0
346,313.0,314.0,68.74,4.0
347,314.0,553.0,439.52,4.0
348,316.0,317.0,1793.81,4.0
349,316.0,843.0,60.86,4.0
350,318.0,319.0,226.57,4.0
351,319.0,335.0,1353.16,5.0
352,320.0,600.0,97.56,4.0
353,321.0,322.0,2318.81,4.0
354,322.0,552.0,2655.37,4.0
355,323.0,324.0,319.02,4.0
356,323.0,400.0,157.33,4.0
357,326.0,327.0,1030.14,4.0
358,326.0,463.0,166.2,4.0
359,328.0,329.0,18.62,4.0
360,328.0,406.0,92.06,4.0
361,329.0,546.0,199.0,4.0
362,329.0,546.0,198.58,4.0
363,330.0,331.0,185.59,4.0
364,331.0,920.0,9252.78,4.0
365,332.0,333.0,310.24,4.0
366,333.0,367.0,407.63,4.0
367,333.0,367.0,414.92,4.0
368,336.0,337.0,1328.43,5.0
369,336.0,676.0,2899.36,5.0
370,336.0,415.0,3073.47,5.0
371,337.0,471.0,411.99,5.0
372,337.0,471.0,395.71,5.0
373,338.0,339.0,3399.21,3.0
374,338.0,569.0,352.63,4.0
375,340.0,341.0,232.62,1.0
376,340.0,342.0,244.08,0.0
377,340.0,504.0,81.31,1.0
378,343.0,344.0,1096.21,0.0
379,343.0,801.0,100.99,4.0
380,344.0,355.0,273.74,4.0
381,345.0,346.0,4923.49,0.0
382,347.0,348.0,1092.1,3.0
383,347.0,348.0,1092.1,3.0
384,347.0,1097.0,85.68,3.0
385,347.0,1097.0,85.68,3.0
386,349.0,877.0,1185.17,0.0
387,350.0,351.0,1284.41,4.0
388,352.0,353.0,2285.72,4.0
389,352.0,357.0,236.19,4.0
390,353.0,558.0,617.66,4.0
391,356.0,357.0,176.97,4.0
392,358.0,359.0,315.61,4.0
393,358.0,447.0,410.35,4.0
394,358.0,447.0,410.35,4.0
395,360.0,361.0,2602.58,0.0
396,360.0,938.0,754.41,4.0
397,364.0,365.0,385.99,0.0
398,364.0,365.0,377.59,0.0
399,367.0,368.0,2468.08,0.0
400,367.0,732.0,2501.86,0.0
401,369.0,370.0,3737.79,0.0
402,369.0,370.0,3742.75,0.0
403,369.0,371.0,7409.03,0.0
404,369.0,392.0,1253.92,4.0
405,369.0,617.0,625.15,0.0
406,371.0,434.0,124.86,4.0
407,372.0,373.0,5419.3,6.0
408,374.0,375.0,3545.7,6.0
409,375.0,740.0,3894.71,6.0
410,376.0,377.0,5801.31,6.0
411,377.0,756.0,1828.87,5.0
412,378.0,379.0,216.74,6.0
413,378.0,867.0,328.51,0.0
414,380.0,381.0,221.87,5.0
415,383.0,384.0,223.82,5.0
416,385.0,386.0,1155.76,5.0
417,385.0,387.0,272.85,5.0
418,385.0,387.0,287.15,5.0
419,387.0,388.0,930.99,5.0
420,389.0,390.0,1928.67,5.0
421,389.0,905.0,1061.88,5.0
422,393.0,394.0,328.52,4.0
423,393.0,794.0,3114.71,4.0
424,394.0,692.0,2489.57,4.0
425,395.0,396.0,579.09,4.0
426,395.0,679.0,577.92,4.0
427,396.0,674.0,314.08,4.0
428,398.0,399.0,150.43,4.0
429,400.0,459.0,2336.45,4.0
430,401.0,402.0,772.5,4.0
431,401.0,776.0,847.97,4.0
432,402.0,448.0,61.09,4.0
433,402.0,696.0,85.04,4.0
